"","Polling.Firm","Commissioners","Fieldwork.Start","Fieldwork.End","Scope","Sample.Size","Sample.Size.Qualification","Participation","Precision","PiS","PO","K15",".N","PSL","SLD","Wiosna","NN","LR","ZP","KO","Lewica","KP","Konfederacja","BS","KE","PL2050","Porozumienie","AU","AU.Porozumienie","TD","T.DPL","PJJ","Other"
"680","Instytut Badań Pollster","SE.pl","2020-04-06","2020-04-07","National","1054","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,22.4,15.7,8.7,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5
"681","Social Changes","wpolityce.pl","2020-04-03","2020-04-06","National","1064","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,18,14,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"682","IBSP","wp.pl","2020-03-31","2020-04-02","National","1002","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,27.1,12.5,6.9,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"683","Social Changes","wpolityce.pl","2020-03-27","2020-03-30","National","1062","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,21,12,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"684","Estymator","DoRzeczy.pl","2020-03-25","2020-03-26","National","1032","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,22.9,15,12.3,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
"685","Social Changes","wpolityce.pl","2020-03-20","2020-03-23","National","1055","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,24,16,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"686","Instytut Badań Pollster","SE.pl","2020-03-17","2020-03-18","National","1077","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9,23.8,15.4,10.2,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"687","Social Changes","wpolityce.pl","2020-03-13","2020-03-17","National","1065","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,26,17,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"688","CBOS","","2020-03-05","2020-03-15","National","919","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,21,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"689","Estymator","DoRzeczy.pl","2020-03-12","2020-03-13","National","1028","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,25.3,15.2,10.3,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7
"690","IBSP","wp.pl","2020-03-10","2020-03-13","National","1002","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,21.9,12.4,8.1,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"691","Kantar Public","","2020-03-06","2020-03-11","National","981","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,28,10,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"692","Social Changes","wpolityce.pl","2020-03-06","2020-03-10","National","1063","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,24,15,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"693","Social Changes","wpolityce.pl","2020-02-28","2020-03-02","National","1052","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,26,18,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"694","Estymator","DoRzeczy.pl","2020-02-27","2020-02-28","National","1031","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,28.6,13.4,9.6,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"695","Instytut Badań Pollster","SE.pl","2020-02-24","2020-02-26","National","1097","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4,25.1,14.4,9.8,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"696","Social Changes","wpolityce.pl","2020-02-21","2020-02-24","National","1090","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,25,16,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"697","IPSOS","OKO","2020-02-20","2020-02-22","National","1013","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,26,13,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"698","IBSP","wp.pl","2020-02-18","2020-02-20","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,30.9,13.4,7.9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
"699","Social Changes","wpolityce.pl","2020-02-14","2020-02-18","National","1053","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,25,16,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"700","CBOS","","2020-02-06","2020-02-16","National","994","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,24,9,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"701","Estymator","DoRzeczy.pl","2020-02-12","2020-02-13","National","1009","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6,29.8,13.2,9.3,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7
"702","Kantar Public","TVN","2020-02-07","2020-02-12","National","969","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,26,10,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"703","Social Changes","wpolityce.pl","2020-02-07","2020-02-11","National","1085","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,25,15,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"704","IBRiS","DoRzeczy.pl","2020-02-07","2020-02-08","National","1100","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,30,17,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"705","Social Changes","wpolityce.pl","2020-02-01","2020-02-04","National","1080","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,28,15,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"706","Kantar Public","TVN","2020-01-29","2020-01-30","National","1000","Provided","62.6%","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,30,13,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"707","Social Changes","wpolityce.pl","2020-01-23","2020-01-27","National","1062","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,27,17,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"708","IBRiS","Radio ZET","2020-01-24","2020-01-25","National","1100","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,26,15,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"709","Estymator","DoRzeczy.pl","2020-01-23","2020-01-24","National","1027","Provided","64.0%","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,29.7,11.8,8.7,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
"710","Instytut Badań Pollster","SE.pl","2020-01-22","2020-01-23","National","1091","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,27.4,14.7,8.3,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7
"711","Social Changes","wpolityce.pl","2020-01-17","2020-01-21","National","1054","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,26,17,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"712","Instytut Badań Pollster","SE.pl","2020-01-14","2020-01-16","National","1075","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,27.5,14.5,8.5,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
"713","IBSP","wpolityce.pl","2020-01-14","2020-01-16","National","1001","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,31.3,13.3,7.4,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"714","CBOS","","2020-01-09","2020-01-16","National","1069","Provided","78.0%","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,25.8,11.2,7.9,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"715","Kantar Public","TVN","2020-01-09","2020-01-15","National","984","Provided","71.0%","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,28,13,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"716","Social Changes","wpolityce.pl","2020-01-10","2020-01-14","National","1057","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,23,18,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"717","IBRiS","Radio ZET","2020-01-10","2020-01-11","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,26.9,12.9,4.7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2
"718","Estymator","DoRzeczy.pl","2020-01-09","2020-01-10","National","1018","Provided","65.0%","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4,28.2,10.5,8.6,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9
"719","Social Changes","wpolityce.pl","2020-01-03","2020-01-07","National","1033","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,24,16,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"720","Social Changes","wpolityce.pl","2019-12-27","2019-12-31","National","1042","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,23,17,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"721","Social Changes","wpolityce.pl","2019-12-20","2019-12-24","National","1044","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,23,17,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"722","IBSP","","2019-12-22","2019-12-22","National","Not Available","Not Available","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1,27.9,16.1,7,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"723","Instytut Badań Pollster","","2019-12-20","2019-12-22","National","1060","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,25.5,14.4,8.1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"724","IBRiS","Radio ZET","2019-12-19","2019-12-20","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,29.7,11,8.3,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"725","Estymator","DoRzeczy.pl","2019-12-19","2019-12-20","National","1021","Provided","64.0%","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,27.9,11.8,8.8,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7
"726","Kantar Public","TVN","2019-12-17","2019-12-18","National","1003","Provided","59.0%","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,29,13,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"727","Social Changes","wpolityce.pl","2019-12-13","2019-12-17","National","1029","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,23,18,10,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"728","Kantar Public","WO","2019-12-06","2019-12-11","National","971","Provided","66.0%","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43,29,12,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"729","Social Changes","wpolityce.pl","2019-12-06","2019-12-10","National","1037","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,22,19,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"730","IBRiS","Radio ZET","2019-12-06","2019-12-07","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,29.8,13.1,6,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"731","CBOS","","2019-11-28","2019-12-05","National","971","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,24.4,12.2,6.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"732","Social Changes","wpolityce.pl","2019-11-28","2019-12-03","National","1028","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,24,16,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"733","Kantar Public","PO","2019-11-29","2019-11-30","National","Not Available","Not Available","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,28,14,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"734","Instytut Badań Pollster","Super Express","2019-11-27","2019-11-27","National","Not Available","Not Available","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,23.3,14.9,7.8,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9
"735","Social Changes","wpolityce.pl","2019-11-22","2019-11-26","National","1037","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,24,18,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"736","IBRiS","Radio ZET","2019-11-22","2019-11-23","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,24.8,12.8,6,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6
"737","Kantar Public","","2019-11-15","2019-11-20","National","972","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,27,10,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"738","Social Changes","wpolityce.pl","2019-11-15","2019-11-19","National","1029","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25,17,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"739","CBOS","","2019-11-07","2019-11-17","National","996","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,20,12,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"740","Social Changes","wpolityce.pl","2019-11-08","2019-11-12","National","1028","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,25,15,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"741","Kantar Public","TVN","2019-11-05","2019-11-12","National","1502","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,27,14,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"742","Instytut Badań Pollster","Super Express","2019-11-05","2019-11-06","National","1099","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,25,12.7,8.8,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
"743","Social Changes","wpolityce.pl","2019-11-01","2019-11-05","National","1033","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43,24,17,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"744","CBM Indicator","TVP","2019-10-31","2019-11-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,26.1,14.4,8.8,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"745","Social Changes","wpolityce.pl","2019-10-25","2019-10-30","National","1040","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,24.9,15.9,9.8,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"746","Ipsos","OKO","2019-10-21","2019-10-23","National","1004","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,23,15,9,7,1,NA,NA,NA,NA,NA,NA,NA,NA,4
"747","IBRiS","Radio ZET","2019-10-18","2019-10-19","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,21.7,12.3,7.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1
"748","Kantar Public","TVN","2019-10-11","2019-10-16","National","986","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,27,14,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"749","IBRiS","RMF","2019-10-11","2019-10-11","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,22.3,14,5.9,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1
"750","IBSP","","2019-10-10","2019-10-11","National","1002","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,27,15.7,6.3,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","Kantar Public","TVN","2019-10-09","2019-10-10","National","1503","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,26,12,7,7,0,NA,NA,NA,NA,NA,NA,NA,NA,8
"752","Instytut Badań Pollster","Super Express","2019-10-09","2019-10-10","National","1059","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4,27.2,14.3,7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
"753","Estymator","DoRzeczy.pl","2019-10-09","2019-10-10","National","1007","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2,25.3,14.1,6.8,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"754","CBM Indicator","TVP","2019-10-09","2019-10-10","National","Not Available","Not Available","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2,27,13.4,7.3,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755","Social Changes","wpolityce.pl","2019-10-04","2019-10-10","National","1010","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,24.4,16.2,6.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"756","CBOS","","2019-10-03","2019-10-10","National","1013","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,19,9,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"757","IBRiS","Radio ZET","2019-10-09","2019-10-09","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6,22.5,13.1,6.9,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6
"758","IBRiS","Rzeczpospolita","2019-10-08","2019-10-09","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,22,13.4,6,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6
"759","IBRiS","Onet","2019-10-08","2019-10-08","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,22.7,13.8,6.2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5
"760","IBRiS","RMF","2019-10-04","2019-10-05","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1,24.6,12.6,5.6,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3
"761","Kantar Millward Brown","Gazeta Wyborcza, Gazeta.pl and TOK FM","2019-10-01","2019-10-05","National","1005","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,29,13,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,6
"762","Estymator","DoRzeczy.pl","2019-10-03","2019-10-04","National","1015","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,26.4,13.1,6.4,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9
"763","Dobra Opinia","PPG","2019-09-30","2019-10-04","National","8000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3,27.7,12.4,6.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9
"764","IBRiS","Onet","2019-10-02","2019-10-03","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,24.3,12,5.9,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9
"765","IBRiS","Radio ZET","2019-10-02","2019-10-02","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4,25,13.1,5.8,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3
"766","Instytut Badań Pollster","Super Express","2019-10-01","2019-10-02","National","1088","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,28.5,13.9,7.6,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
"767","Social Changes","wpolityce.pl","2019-09-27","2019-10-02","National","1003","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2,26.1,13.8,7.4,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"768","Kantar Public","TVN","2019-09-25","2019-09-26","National","1005","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,28,10,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"769","Instytut Badań Pollster","Super Express","2019-09-24","2019-09-25","National","1101","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,26,14,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"770","CBM Indicator","TVP","2019-09-23","2019-09-25","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,26.1,11.9,6.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
"771","Social Changes","wpolityce.pl","2019-09-20","2019-09-25","National","1025","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9,27.8,12.6,6.8,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"772","IBRiS","RMF","2019-09-20","2019-09-21","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,23.9,14.1,6,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1
"773","Estymator","DoRzeczy.pl","2019-09-17","2019-09-19","National","1022","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,27.9,13.2,6.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
"774","CBOS","","2019-09-12","2019-09-19","National","990","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,23,5,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"775","Social Changes","wpolityce.pl","2019-09-13","2019-09-18","National","1001","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2,26.1,12.4,6.8,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"776","Kantar Millward Brown","Gazeta Wyborcza","2019-09-13","2019-09-17","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43,30,11,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"777","IBSP","","2019-09-12","2019-09-14","National","1011","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6,30.9,12.3,4.2,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7
"778","Instytut Badań Pollster","Super Express","2019-09-12","2019-09-13","National","1059","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,26,14,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"779","Social Changes","wpolityce.pl","2019-09-06","2019-09-11","National","1022","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6,26.5,13.9,9.8,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"780","Kantar Public","TVN","2019-09-06","2019-09-11","National","975","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,24,11,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"781","IBRiS","Rzeczpospolita","2019-09-06","2019-09-07","National","Not Available","Not Available","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4,22.7,13.1,5.6,3.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,12.2
"782","Instytut Badań Pollster","Super Express","2019-09-04","2019-09-06","National","1094","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,28,14,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"783","Estymator","DoRzeczy.pl","2019-09-04","2019-09-05","National","1012","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2,27.4,12.9,6,3.9,1.6,NA,NA,NA,NA,NA,NA,NA,NA,1
"784","Social Changes","wpolityce.pl","2019-08-30","2019-09-04","National","1044","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,29.1,13.9,8.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"785","IBRiS","Onet","2019-08-24","2019-09-04","National","8000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,21.2,14.1,5.7,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5
"786","Dobra Opinia","PPG","2019-08-23","2019-08-29","National","8000","Provided","Not Available","0.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,11,6,4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5
"787","CBOS","","2019-08-22","2019-08-29","National","1029","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,19,9,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1
"788","Ipsos","OKO","2019-08-26","2019-08-28","National","1006","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,28,13,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,6
"789","Social Changes","wpolityce.pl","2019-08-23","2019-08-28","National","1007","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,30.6,10.4,9.1,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"790","IBRiS","Onet","2019-08-26","2019-08-26","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,26.6,12.2,7.2,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8
"791","CBM Indicator","TVP","2019-08-24","2019-08-26","National","Not Available","Not Available","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,28.5,11.3,5.7,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1
"792","IBRiS","RMF","2019-08-23","2019-08-24","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,25,13.3,5.8,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3
"793","Kantar Public","TVN","2019-08-22","2019-08-22","National","1012","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,30,11,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,7
"794","Estymator","DoRzeczy.pl","2019-08-21","2019-08-22","National","1046","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,30.4,9.8,6.8,3.8,2.3,NA,NA,NA,NA,NA,NA,NA,NA,2
